run_id,framework,task,failure_type,success,latency_ms,failure_category,exception_type,recovered,recovery_latency_ms
0,autogen,rag,malformed_output,True,4.48,none,,False,0.0
1,autogen,rag,malformed_output,True,4.49,none,,False,0.0
2,autogen,rag,malformed_output,True,4.91,none,,False,0.0
3,autogen,rag,malformed_output,True,4.45,none,,False,0.0
4,autogen,rag,malformed_output,True,4.04,none,,False,0.0
5,autogen,rag,malformed_output,True,4.53,none,,False,0.0
6,autogen,rag,malformed_output,True,4.21,none,,False,0.0
7,autogen,rag,malformed_output,True,4.26,none,,False,0.0
8,autogen,rag,malformed_output,True,4.55,none,,False,0.0
9,autogen,rag,malformed_output,True,3.8,none,,False,0.0
