run_id,framework,task,failure_type,success,latency_ms,failure_category,exception_type,recovered,recovery_latency_ms
0,autogen,rag,none,True,10589.97,none,,False,0.0
1,autogen,rag,none,True,11099.29,none,,False,0.0
2,autogen,rag,none,True,19530.22,none,,False,0.0
3,autogen,rag,none,True,91186.73,none,,False,0.0
4,autogen,rag,none,True,21560.66,none,,False,0.0
5,autogen,rag,none,True,9.67,none,,False,0.0
6,autogen,rag,none,True,9.96,none,,False,0.0
7,autogen,rag,none,True,7.64,none,,False,0.0
8,autogen,rag,none,True,6.94,none,,False,0.0
9,autogen,rag,none,True,6.33,none,,False,0.0
