run_id,framework,task,failure_type,success,latency_ms,failure_category,exception_type,recovered,recovery_latency_ms
0,autogen,rag,rate_limit,True,4.01,none,,False,0.0
1,autogen,rag,rate_limit,True,3.73,none,,False,0.0
2,autogen,rag,rate_limit,True,4.14,none,,False,0.0
3,autogen,rag,rate_limit,True,4.32,none,,False,0.0
4,autogen,rag,rate_limit,True,3.86,none,,False,0.0
5,autogen,rag,rate_limit,True,4.39,none,,False,0.0
6,autogen,rag,rate_limit,True,4.28,none,,False,0.0
7,autogen,rag,rate_limit,True,4.2,none,,False,0.0
8,autogen,rag,rate_limit,True,4.12,none,,False,0.0
9,autogen,rag,rate_limit,True,4.25,none,,False,0.0
