run_id,framework,task,failure_type,success,latency_ms,failure_category,exception_type,recovered,recovery_latency_ms
0,autogen,rag,timeout,True,5.89,none,,False,0.0
1,autogen,rag,timeout,True,5.66,none,,False,0.0
2,autogen,rag,timeout,True,5.38,none,,False,0.0
3,autogen,rag,timeout,True,4.5,none,,False,0.0
4,autogen,rag,timeout,True,4.77,none,,False,0.0
5,autogen,rag,timeout,True,4.7,none,,False,0.0
6,autogen,rag,timeout,True,4.59,none,,False,0.0
7,autogen,rag,timeout,True,4.42,none,,False,0.0
8,autogen,rag,timeout,True,4.52,none,,False,0.0
9,autogen,rag,timeout,True,4.52,none,,False,0.0
