run_id,framework,task,failure_type,success,latency_ms,failure_category,exception_type,recovered,recovery_latency_ms
0,autogen,tool_use,rate_limit,True,4.06,none,,False,0.0
1,autogen,tool_use,rate_limit,True,3.84,none,,False,0.0
2,autogen,tool_use,rate_limit,True,3.67,none,,False,0.0
3,autogen,tool_use,rate_limit,True,4.64,none,,False,0.0
4,autogen,tool_use,rate_limit,True,4.4,none,,False,0.0
5,autogen,tool_use,rate_limit,True,3.95,none,,False,0.0
6,autogen,tool_use,rate_limit,True,4.02,none,,False,0.0
7,autogen,tool_use,rate_limit,True,4.02,none,,False,0.0
8,autogen,tool_use,rate_limit,True,4.18,none,,False,0.0
9,autogen,tool_use,rate_limit,True,4.12,none,,False,0.0
