run_id,framework,task,failure_type,success,latency_ms,failure_category,exception_type,recovered,recovery_latency_ms
0,langchain,multi_agent,timeout,True,11701.15,none,,False,0.0
1,langchain,multi_agent,timeout,False,1200.09,tool_call,ToolCallTimeout,True,16808.64
2,langchain,multi_agent,timeout,True,4097.39,none,,False,0.0
3,langchain,multi_agent,timeout,True,14583.56,none,,False,0.0
4,langchain,multi_agent,timeout,True,9767.64,none,,False,0.0
5,langchain,multi_agent,timeout,True,11732.73,none,,False,0.0
6,langchain,multi_agent,timeout,True,17447.58,none,,False,0.0
7,langchain,multi_agent,timeout,True,4047.02,none,,False,0.0
8,langchain,multi_agent,timeout,True,14332.8,none,,False,0.0
9,langchain,multi_agent,timeout,True,9621.72,none,,False,0.0
