run_id,framework,task,failure_type,success,latency_ms,failure_category,exception_type,recovered,recovery_latency_ms
0,langchain,rag,none,True,6195.43,none,,False,0.0
1,langchain,rag,none,True,2621.0,none,,False,0.0
2,langchain,rag,none,True,15429.65,none,,False,0.0
3,langchain,rag,none,True,4860.29,none,,False,0.0
4,langchain,rag,none,True,10941.13,none,,False,0.0
5,langchain,rag,none,True,6030.76,none,,False,0.0
6,langchain,rag,none,True,2590.48,none,,False,0.0
7,langchain,rag,none,True,12396.49,none,,False,0.0
8,langchain,rag,none,True,4764.74,none,,False,0.0
9,langchain,rag,none,True,11018.65,none,,False,0.0
