run_id,framework,task,failure_type,success,latency_ms,failure_category,exception_type,recovered,recovery_latency_ms
0,langgraph,multi_agent,timeout,True,13126.72,none,,False,0.0
1,langgraph,multi_agent,timeout,False,1353.26,tool_call,ToolCallTimeout,True,19105.11
2,langgraph,multi_agent,timeout,True,4317.0,none,,False,0.0
3,langgraph,multi_agent,timeout,True,16584.28,none,,False,0.0
4,langgraph,multi_agent,timeout,True,11429.56,none,,False,0.0
5,langgraph,multi_agent,timeout,True,15637.49,none,,False,0.0
6,langgraph,multi_agent,timeout,True,24448.2,none,,False,0.0
7,langgraph,multi_agent,timeout,True,5424.43,none,,False,0.0
8,langgraph,multi_agent,timeout,True,18031.86,none,,False,0.0
9,langgraph,multi_agent,timeout,True,11381.41,none,,False,0.0
