run_id,framework,task,failure_type,success,latency_ms,failure_category,exception_type,recovered,recovery_latency_ms
0,langgraph,rag,none,True,5554.17,none,,False,0.0
1,langgraph,rag,none,True,2598.84,none,,False,0.0
2,langgraph,rag,none,True,14365.6,none,,False,0.0
3,langgraph,rag,none,True,4403.53,none,,False,0.0
4,langgraph,rag,none,True,10330.8,none,,False,0.0
5,langgraph,rag,none,True,5684.67,none,,False,0.0
6,langgraph,rag,none,True,2491.83,none,,False,0.0
7,langgraph,rag,none,True,11704.56,none,,False,0.0
8,langgraph,rag,none,True,4451.74,none,,False,0.0
9,langgraph,rag,none,True,10488.87,none,,False,0.0
