run_id,framework,task,failure_type,success,latency_ms,failure_category,exception_type,recovered,recovery_latency_ms
0,langgraph,tool_use,none,True,1945.74,none,,False,0.0
1,langgraph,tool_use,none,True,12408.35,none,,False,0.0
2,langgraph,tool_use,none,True,1652.52,none,,False,0.0
3,langgraph,tool_use,none,True,5861.91,none,,False,0.0
4,langgraph,tool_use,none,True,8670.58,none,,False,0.0
5,langgraph,tool_use,none,True,1524.01,none,,False,0.0
6,langgraph,tool_use,none,True,12421.04,none,,False,0.0
7,langgraph,tool_use,none,True,1728.63,none,,False,0.0
8,langgraph,tool_use,none,True,5891.09,none,,False,0.0
9,langgraph,tool_use,none,True,8692.41,none,,False,0.0
