run_id,framework,task,failure_type,success,latency_ms,failure_category,exception_type,recovered,recovery_latency_ms
0,langgraph,tool_use,timeout,True,1588.36,none,,False,0.0
1,langgraph,tool_use,timeout,False,1371.01,tool_call,ToolCallTimeout,True,12034.71
2,langgraph,tool_use,timeout,True,1677.28,none,,False,0.0
3,langgraph,tool_use,timeout,True,6125.09,none,,False,0.0
4,langgraph,tool_use,timeout,True,9248.93,none,,False,0.0
5,langgraph,tool_use,timeout,True,1640.88,none,,False,0.0
6,langgraph,tool_use,timeout,False,1586.87,tool_call,ToolCallTimeout,True,14187.26
7,langgraph,tool_use,timeout,False,1238.72,tool_call,ToolCallTimeout,True,2124.12
8,langgraph,tool_use,timeout,True,7890.76,none,,False,0.0
9,langgraph,tool_use,timeout,False,1642.74,tool_call,ToolCallTimeout,False,0.0
